Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,Oxnard_CA,93036,USA,10,"34.238654, -119.177398",24,Open,24-Sep-14,SC,thread
"Brandon, FL",2400 W Brandon Blvd,Brandon,FL,Brandon_FL,33511,USA,8,"27.940831, -82.323648",12,Open,24-Sep-14,SC,thread
"Grand Ave (SC), Chicago, IL",1053 W Grand Ave,Chicago,IL,Chicago_IL,60642,USA,2,"41.890732, -87.654125",181,Open,09-Sep-14,SC,thread
"Chattanooga, TN",1001 Airport Rd,Chattanooga,TN,Chattanooga_TN,37421,USA,6,"35.037458, -85.196339",204,Open,04-Sep-14,SC,thread
"Cornwall, ON",805 Brookdale Ave,Cornwall,ON,Cornwall_ON,K6J 4P3,Canada,6,"45.023665, -74.747845",431,Open,28-Aug-14,SC,thread
"Toronto (SC), ON",1325 Lawrence Ave East,Toronto,ON,Toronto_ON,M3A 1C6,Canada,8,"43.740222, -79.322389",138,Open,26-Aug-14,SC,thread
"Truckee, CA",11290 Donner Pass Rd,Truckee,CA,Truckee_CA,96161,USA,6,"39.327507, -120.207373","1,967",Open,26-Aug-14,SC,thread
"Edison, NJ",199 Lafayette Ave,Edison,NJ,Edison_NJ,8837,USA,8,"40.544814, -74.333248",30,Open,22-Aug-14,SC,thread
"Lake City, FL",2893 W US Highway 90,Lake City,FL,Lake City_FL,32055,USA,6,"30.181429, -82.679701",46,Open,20-Aug-14,SC,thread
"St. George, UT",1091 N Bluff St,St. George,UT,St. George_UT,84770,USA,4,"37.125336, -113.60272",887,Open,14-Aug-14,SC,thread
"South Hill, VA",1791 N Mecklenburg Ave,South Hill,VA,South Hill_VA,23970,USA,6,"36.748445, -78.103764",125,Open,07-Aug-14,SC,thread
"The Dalles, OR",2114 W 6th,The Dalles,OR,The Dalles_OR,97058,USA,5,"45.611964, -121.208526",45,Open,01-Aug-14,SC,thread
"Billings, MT",1801 Majestic LN,Billings,MT,Billings_MT,59102,USA,4,"45.733716, -108.604573",978,Open,23-Jul-14,SC,thread
"Squamish, BC",40147 Glenalder Pl,Squamish,BC,Squamish_BC,V8B 0G2,Canada,6,"49.736901, -123.134573",35,Open,12-Jul-14,SC,thread
"Wickenburg, AZ",155 N Tegner Tt,Wickenburg,AZ,Wickenburg_AZ,85390,USA,6,"33.970233, -112.73165",628,Open,11-Jul-14,SC,thread
"Tifton, GA",1310 U.S. 82,Tifton,GA,Tifton_GA,31794,USA,8,"31.448583, -83.534472",92,Open,10-Jul-14,SC,thread
"Salina, KS",755 W Diamond Dr,Salina,KS,Salina_KS,67401,USA,6,"38.877342, -97.618699",371,Open,04-Jul-14,SC,thread
"Limon, CO",2221 6th St,Limon,CO,Limon_CO,80828,USA,6,"39.268842, -103.708604","1,652",Open,21-Jun-14,SC,thread
"Goodland, KS",2631 Enterprise Rd,Goodland,KS,Goodland_KS,67735,USA,6,"39.326253, -101.725171","1,129",Open,13-Jun-14,SC,thread
"Hays, KS",4101 Vine St,Hays,KS,Hays_KS,67601,USA,6,"38.900543, -99.319142",626,Open,12-Jun-14,SC,thread
"Nephi, UT",2100 S Main St,Nephi,UT,Nephi_UT,84648,USA,6,"39.678397, -111.840704","1,555",Open,11-Jun-14,SC,thread
"Ritzville, WA",105 Galbreath Way,Ritzville,WA,Ritzville_WA,99169,USA,4,"47.116294, -118.368328",570,Open,18-May-14,SC,thread
"Gila Bend, AZ",826 W Pima St,Gila Bend,AZ,Gila Bend_AZ,85337,USA,8,"32.943969, -112.733506",221,Open,17-May-14,SC,thread
"Macon, GA",450 Martin Luther King Jr Blvd,Macon,GA,Macon_GA,31201,USA,8,"32.833428, -83.625557",98,Open,08-May-14,SC,thread
"Triadelphia, WV",35 Bob Wise Drive,Triadelphia,WV,Triadelphia_WV,26059,USA,4,"40.060757, -80.602874",397,Open,07-May-14,SC,thread
"San Juan Capistrano, CA",31971 Camino Capistrano,San Juan Capistrano,CA,San Juan Capistrano_CA,92675,USA,7,"33.498458, -117.6632",30,Open,06-May-14,SC,thread
"Woodbridge, VA",2700 Potomac Mills Circle,Woodbridge,VA,Woodbridge_VA,22192,USA,8,"38.64082, -77.29633",63,Open,02-May-14,SC,thread
"Albany, NY",131 Colonie Center,Albany,NY,Albany_NY,12205,USA,6,"42.710356, -73.819109",88,Open,30-Apr-14,SC,thread
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,Roseville_CA,95678,USA,7,"38.771208, -121.266149",66,Open,29-Apr-14,SC,thread
"Hamilton Marketplace, NJ",425 Marketplace Blvd,Hamilton Township,NJ,Hamilton Township_NJ,8691,USA,6,"40.195539, -74.641375",21,Open,22-Apr-14,SC,thread
"Beaver, UT",Littlefield Interchange,Beaver,UT,Beaver_UT,84713,USA,4,"38.249149, -112.652524","1,790",Open,14-Apr-14,SC,thread
"Cranberry, PA",1308 Freedom Rd,Cranberry Township,PA,Cranberry Township_PA,16066,USA,6,"40.683982, -80.10839",312,Open,04-Apr-14,SC,thread
"Richfield, UT",20 W 1400 N,Richfield,UT,Richfield_UT,84701,USA,4,"38.788161, -112.083841","1,659",Open,04-Apr-14,SC,thread
"Buckeye, AZ",416 S Watson RD,Buckeye,AZ,Buckeye_AZ,85326,USA,8,"33.443011, -112.556876",338,Open,20-Mar-14,SC,thread
"Green River, UT",1765 East Main St,Green River,UT,Green River_UT,84525,USA,4,"38.993577, -110.140513","1,240",Open,17-Mar-14,SC,thread
"Plymouth, NC",840 U.S. 64,Plymouth,NC,Plymouth_NC,27962,USA,8,"35.850587, -76.756116",5,Open,12-Mar-14,SC,thread
"Lone Tree, CO",8401 Park Meadows Center Dr,Lone Tree,CO,Lone Tree_CO,80124,USA,4,"39.563776, -104.875651","1,785",Open,26-Feb-14,SC,thread
"Las Vegas, NV",701 Bridger Ave,Las Vegas,NV,Las Vegas_NV,89101,USA,6,"36.165906, -115.138655",609,Open,19-Feb-14,SC,thread
"Pleasant Prairie, WI",11211 120th Avenue,Pleasant Prairie,WI,Pleasant Prairie_WI,53158,USA,8,"42.518715, -87.950428",216,Open,13-Feb-14,SC,thread
"Greenwich, CT (south)",2000 Merritt Parkway,Greenwich,CT,Greenwich_CT,6830,USA,4,"41.040555, -73.673445",81,Open,12-Feb-14,SC,thread
"Greenwich, CT (north)",3000 Merritt Parkway,Greenwich,CT,Greenwich_CT,6830,USA,4,"41.041538, -73.671661",82,Open,12-Feb-14,SC,thread
"Yuma, AZ",310 N Madison Ave,Yuma,AZ,Yuma_AZ,85364,USA,8,"32.726686, -114.619093",43,Open,04-Feb-14,SC,thread
"Eau Claire, WI",4601 Keystone Crossing,Eau Claire,WI,Eau Claire_WI,54701,USA,6,"44.77083, -91.43711",293,Open,30-Jan-14,SC,thread
"Hagerstown, MD",495 Premium Outlets Blvd,Hagerstown,MD,Hagerstown_MD,21740,USA,6,"39.605859, -77.733324",164,Open,23-Jan-14,SC,thread
"Moab, UT",16 South Main St.,Moab,UT,Moab_UT,84511,USA,4,"38.573122, -109.552368","1,224",Open,22-Jan-14,SC,thread
"Kingman, AZ",789 West Beale Street,Kingman,AZ,Kingman_AZ,86401,USA,6,"35.191331, -114.065592","1,025",Open,22-Jan-14,SC,thread
"Cheyenne, WY",1400 Dell Range Blvd,Cheyenne,WY,Cheyenne_WY,82009,USA,4,"41.161085, -104.804955","1,859",Open,20-Jan-14,SC,thread
"Syosset, NY",7 Aeriel Way,Syosset,NY,Syosset_NY,11791,USA,4,"40.799839, -73.515267",56,Open,18-Jan-14,SC,thread
"Lumberton, NC",5093 Fayetteville Road,Lumberton,NC,Lumberton_NC,28358,USA,4,"34.667629, -79.002343",40,Open,17-Jan-14,SC,thread
"Macedonia, OH",8210 Macedonia Commons Blvd,Macedonia,OH,Macedonia_OH,44056,USA,6,"41.313663, -81.517018",296,Open,15-Jan-14,SC,thread
"Albert Lea, MN",811 East Plaza St,Albert Lea,MN,Albert Lea_MN,56007,USA,4,"43.68606, -93.357721",383,Open,15-Jan-14,SC,thread
"Savannah, GA",400 Airways Avenue,Savannah,GA,Savannah_GA,31408,USA,6,"32.135507, -81.212767",6,Open,15-Jan-14,SC,thread
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,AZ,Holbrook_AZ,86025,USA,4,"34.922962, -110.145558","1,596",Open,15-Jan-14,SC,thread
"Blanding, UT",12 N Grayson Pkwy,Blanding,UT,Blanding_UT,84511,USA,4,"37.625553, -109.473842","1,849",Open,13-Jan-14,SC,thread
"Maumee, OH",1391 Conant Street,Maumee,OH,Maumee_OH,43537,USA,6,"41.57835, -83.66465",192,Open,13-Jan-14,SC,thread
"Madison, WI",89 E Towne Mall,Madison,WI,Madison_WI,53704,USA,3,"43.12669, -89.306896",267,Open,13-Jan-14,SC,thread
"Flagstaff, AZ",2650 S Beulah Blvd,Flagstaff,AZ,Flagstaff_AZ,86001,USA,4,"35.174272, -111.66328","2,106",Open,10-Jan-14,SC,thread
"Somerset, PA",1030 North Center Avenue,Somerset,PA,Somerset_PA,15501,USA,6,"40.017383, -79.077117",640,Open,10-Jan-14,SC,thread
"Grand Junction, CO",2420 U.S. 6,Grand Junction,CO,Grand Junction_CO,81505,USA,6,"39.090758, -108.604325","1,386",Open,10-Jan-14,SC,thread
"Farmington, NM",4200 Sierra Vista Dr,Farmington,NM,Farmington_NM,87402,USA,4,"36.766371, -108.144047","1,673",Open,10-Jan-14,SC,thread
"Gallup, NM",111 Twin Buttes Rd,Gallup,NM,Gallup_NM,87301,USA,4,"35.505278, -108.828094","1,970",Open,07-Jan-14,SC,thread
"East Greenwich, RI",1000 Division St,East Greenwich,RI,East Greenwich_RI,2818,USA,8,"41.660517, -71.497242",73,Open,06-Jan-14,SC,forum
"La Crosse, WI",2845 Midwest Dr,Onalaska,WI,Onalaska_WI,54650,USA,6,"43.879042, -91.188428",219,Open,05-Jan-14,SC,thread
"St Augustine, FL","2700 State Road 16, Suite 200",St. Augustine,FL,St. Augustine_FL,32092,USA,6,"29.920735, -81.416337",14,Open,03-Jan-14,SC,thread
"Murdo, SD",302 W 5th St,Murdo,SD,Murdo_SD,57559,USA,4,"43.886915, -100.716887",691,Open,31-Dec-13,SC,thread
"Santee, SC",114 Bradford Blvd.,Santee,SC,Santee_SC,29142,USA,6,"33.485858, -80.475763",39,Open,27-Dec-13,SC,thread
"Ellensburg, WA",1620 Canyon Rd,Ellensburg,WA,Ellensburg_WA,98926,USA,5,"46.976918, -120.54162",454,Open,23-Dec-13,SC,thread
"JFK Airport, NY",150th Ave and 147th St,Queens,NY,Queens_NY,11430,USA,4,"40.66319, -73.793192",3,Open,23-Dec-13,SC,thread
"Detroit Lake, OR",210 D Street,Detroit,OR,Detroit_OR,97342,USA,6,"44.737025, -122.152108",492,Open,23-Dec-13,SC,forum
"Highland Park (SC), IL",1200 Old Skokie Road,Highland Park,IL,Highland Park_IL,60035,USA,4,"42.17434, -87.816626",195,Open,20-Dec-13,SC,thread
"Lusk, WY",730 S. Main St,Lusk,WY,Lusk_WY,82225,USA,4,"42.75625, -104.45267","1,529",Open,19-Dec-13,SC,thread
"Vacaville, CA",321 Nut Tree RD,Vacaville,CA,Vacaville_CA,95687,USA,8,"38.366645, -121.958136",34,Open,19-Dec-13,SC,thread
"Mitchell, SD",1305 W. Havens Street,Mitchell,SD,Mitchell_SD,57301,USA,6,"43.701129, -98.0445",410,Open,18-Dec-13,SC,forum
"Worthington, MN",1290 Ryan's Rd,Worthington,MN,Worthington_MN,56187,USA,6,"43.63385, -95.595647",478,Open,11-Dec-13,SC,thread
"Mishawaka, IN",6501 Grape Rd,Mishawaka,IN,Mishawaka_IN,46545,USA,6,"41.7174, -86.1887",234,Open,11-Dec-13,SC,thread
"Angola, IN",3855 Indiana Rte 127,Angola,IN,Angola_IN,46703,USA,6,"41.699048, -85.000326",329,Open,09-Dec-13,SC,thread
"Mauston, WI",640 Mc Evoy St,Mauston,WI,Mauston_WI,53948,USA,6,"43.795551, -90.059358",265,Open,09-Dec-13,SC,forum
"St. Joseph, MI",3260 Niles Rd,St. Joseph,MI,St. Joseph_MI,49085,USA,8,"42.056357, -86.456352",210,Open,26-Nov-13,SC,thread
"Rapid City, SD",2200 N. Maple Ave,Rapid City,SD,Rapid City_SD,57701,USA,4,"44.105601, -103.212569","1,006",Open,25-Nov-13,SC,forum
"Huntsville, TX",148 Interstate 45,Huntsville,TX,Huntsville_TX,77340,USA,6,"30.716158, -95.565944",123,Open,20-Nov-13,SC,forum
"Folsom, CA",13000 Folsom Blvd,Folsom,CA,Folsom_CA,95630,USA,4,"38.64258, -121.18806",63,Open,19-Nov-13,SC,forum
"Corsicana, TX",2035 Interstate 45 Frontage Rd,Corsicana,TX,Corsicana_TX,75109,USA,6,"32.068577, -96.448229",132,Open,15-Nov-13,SC,forum
"Quartzsite, AZ",1451 W Main St,Quartzsite,AZ,Quartzsite_AZ,85346,USA,8,"33.661314, -114.242174",280,Open,14-Nov-13,SC,forum
"Rocky Mount, NC",651 N. Winstead Avenue,Rocky Mount,NC,Rocky Mount_NC,27804,USA,8,"35.972874, -77.84687",40,Open,08-Nov-13,SC,thread
"Springfield, OR",919 Kruse Way,Springfield,OR,Springfield_OR,97477,USA,8,"44.082605, -123.037471",133,Open,02-Nov-13,SC,forum
"Glen Allen, VA",9860 Brook Rd,Glen Allen,VA,Glen Allen_VA,23059,USA,8,"37.669832, -77.461419",49,Open,24-Oct-13,SC,forum
"Mt Shasta, CA",111 Morgan Way,Mt. Shasta,CA,Mt. Shasta_CA,96067,USA,4,"41.310233, -122.317278","1,066",Open,23-Oct-13,SC,forum
"Grants Pass, OR",1900 NW 6th St.,Grants Pass,OR,Grants Pass_OR,97526,USA,4,"42.460883, -123.324124",335,Open,22-Oct-13,SC,forum
"Corning, CA",950 Hwy 99,Corning,CA,Corning_CA,96021,USA,6,"39.926454, -122.198393",87,Open,18-Oct-13,SC,forum
"Burlington, NC",1080 Piper Ln,Burlington,NC,Burlington_NC,27215,USA,8,"36.07079, -79.511211",197,Open,16-Oct-13,SC,thread
"Columbus, TX",2535 Texas 71,Columbus,TX,Columbus_TX,78934,USA,6,"29.690062, -96.537725",57,Open,07-Oct-13,SC,forum
"Silverthorne, CO",309 Rainbow Dr,Silverthorne,CO,Silverthorne_CO,80498,USA,8,"39.631457, -106.070816","2,670",Open,03-Oct-13,SC,forum
"Glenwood Springs, CO",125 Wulfsohn Rd,Glenwood Springs,CO,Glenwood Springs_CO,81601,USA,6,"39.55268, -107.340168","1,762",Open,17-Sep-13,SC,thread
"Port Orange, FL",5302 S. Williamson Blvd,Port Orange,FL,Port Orange_FL,32128,USA,6,"29.108566, -81.034569",7,Open,13-Sep-13,SC,forum
"Rockford, IL",7200 Harrison Ave,Rockford,IL,Rockford_IL,61112,USA,6,"42.243896, -88.978877",238,Open,12-Sep-13,SC,thread
"Waco, TX",701 Interstate 35,Bellmead,TX,Bellmead_TX,76705,USA,8,"31.58224, -97.10915",124,Open,07-Sep-13,SC,forum
"Woodburn, OR",255 N Arney Rd,Woodburn,OR,Woodburn_OR,97071,USA,8,"45.15313, -122.881254",56,Open,28-Aug-13,SC,forum
"San Marcos, TX",3939 Interstate 35,San Marcos,TX,San Marcos_TX,78666,USA,5,"29.827692, -97.979677",202,Open,20-Aug-13,SC,forum
"Fremont, CA",45500 Fremont Blvd,Fremont,CA,Fremont_CA,94538,USA,12,"37.493447, -121.945654",6,Open,16-Aug-13,SC,thread
"Fort Myers, FL",9903 Gulf Coast Main Street,Fort Myers,FL,Fort Myers_FL,33913,USA,8,"26.48564, -81.787136",6,Open,25-Jul-13,SC,forum
"Port St. Lucie, FL",1773 N.W. St. Lucie W. Boulevard,Port St. Lucie,FL,Port St. Lucie_FL,34986,USA,8,"27.313023, -80.406688",8,Open,24-Jul-13,SC,forum
"Centralia, WA",1200 Lum Rd,Centralia,WA,Centralia_WA,98531,USA,10,"46.729732, -122.977454",56,Open,17-Jul-13,SC,forum
"Burlington, WA",9384 Old Highway 99,Burlington,WA,Burlington_WA,98233,USA,8,"48.509772, -122.338625",7,Open,13-Jul-13,SC,forum
"Buellton, CA",555 McMurray RD,Buellton,CA,Buellton_CA,93427,USA,8,"34.61456, -120.188387",114,Open,13-Jul-13,SC,forum
"Atascadero, CA",6950 El Camino Real,Atascadero,CA,Atascadero_CA,93422,USA,8,"35.48656, -120.66633",262,Open,03-Jul-13,SC,forum
"Normal, IL",Uptown Station Parking Deck 11 Uptown Circle,Normal,IL,Normal_IL,61761,USA,4,"40.508497, -88.985575",236,Open,26-Jun-13,SC,thread
"Darien, CT (north)",Connecticut Welcome Center,Darien,CT,Darien_CT,6820,USA,4,"41.080599, -73.461905",13,Open,19-Jun-13,SC,forum
"Darien, CT (south)",I-95 South after exit 10,Darien,CT,Darien_CT,6820,USA,4,"41.068167, -73.504659",14,Open,19-Jun-13,SC,forum
"Newark, DE",530 JFK Memorial Highway,Newark,DE,Newark_DE,19725,USA,12,"39.662313, -75.69198",18,Open,21-Dec-12,SC,thread
"Milford, CT (south)",1 CT Turnpike S,Milford,CT,Milford_CT,6460,USA,2,"41.246232, -73.010529",19,Open,16-Dec-12,SC,forum
"Milford, CT (north)",1 CT Turnpike N,Milford,CT,Milford_CT,6460,USA,2,"41.245814, -73.008988",19,Open,16-Dec-12,SC,forum
"Hawthorne, CA",1 Rocket Rd,Hawthorne,CA,Hawthorne_CA,90250,USA,12,"33.921068, -118.330054",18,Open,19-Nov-12,SC,forum
"Gilroy, CA",681 Leavesley Road,Gilroy,CA,Gilroy_CA,95020,USA,10,"37.02493, -121.56542",63,Open,19-Nov-12,SC,forum
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,Barstow_CA,92311,USA,8,"34.849129, -117.085446",725,Open,19-Nov-12,SC,thread
"Tejon Ranch, CA",5602 Dennis McCarthy Dr,Lebec,CA,Lebec_CA,93243,USA,6,"34.98734, -118.94623",337,Open,19-Nov-12,SC,forum
"Harris Ranch, CA",24505 W. Dorris Ave,Coalinga,CA,Coalinga_CA,93210,USA,13,"36.25415, -120.237896",139,Open,19-Nov-12,SC,thread